WKT,name,description,id,province_id,alt_name,latitude,longitude
"POINT (105.75 -6.63333 0.0)",KABUPATEN PANDEGLANG,id: 3601
province_id: 36
alt_name: KABUPATEN PANDEGLANG
latitude: -6.63333
longitude: 105.75,3601.0,36.0,KABUPATEN PANDEGLANG,-6.63333,105.75
"POINT (106.21667 -6.65 0.0)",KABUPATEN LEBAK,id: 3602
province_id: 36
alt_name: KABUPATEN LEBAK
latitude: -6.65
longitude: 106.21667,3602.0,36.0,KABUPATEN LEBAK,-6.65,106.21667
"POINT (106.46667 -6.2 0.0)",KABUPATEN TANGERANG,id: 3603
province_id: 36
alt_name: KABUPATEN TANGERANG
latitude: -6.2
longitude: 106.46667,3603.0,36.0,KABUPATEN TANGERANG,-6.2,106.46667
"POINT (106.0 -6.15 0.0)",KABUPATEN SERANG,id: 3604
province_id: 36
alt_name: KABUPATEN SERANG
latitude: -6.15
longitude: 106,3604.0,36.0,KABUPATEN SERANG,-6.15,106
"POINT (106.62991 -6.17944 0.0)",KOTA TANGERANG,id: 3671
province_id: 36
alt_name: KOTA TANGERANG
latitude: -6.17944
longitude: 106.62991,3671.0,36.0,KOTA TANGERANG,-6.17944,106.62991
"POINT (106.01667 -6.01667 0.0)",KOTA CILEGON,id: 3672
province_id: 36
alt_name: KOTA CILEGON
latitude: -6.01667
longitude: 106.01667,3672.0,36.0,KOTA CILEGON,-6.01667,106.01667
"POINT (106.14999 -6.12563 0.0)",KOTA SERANG,id: 3673
province_id: 36
alt_name: KOTA SERANG
latitude: -6.12563
longitude: 106.14999,3673.0,36.0,KOTA SERANG,-6.12563,106.14999
"POINT (106.71244 -6.29373 0.0)",KOTA TANGERANG SELATAN,id: 3674
province_id: 36
alt_name: KOTA TANGERANG SELATAN
latitude: -6.29373
longitude: 106.71244,3674.0,36.0,KOTA TANGERANG SELATAN,-6.29373,106.71244
